"key","en","fr"
"Play","PLAY","JOUER"
"Quit","EXIT","QUITTER"
"Endless","ENDLESS","INFINI"
"Settings","SETTINGS","OPTIONS"
"Language","LANGUAGE","LANGUE"
"Close","CLOSE","FERMER"
"Caution","The game need to be restarted for the language to change","Le jeu doit etre redemarré afin que la langue change"
"Tuto","TUTO","TUTO"
"Next","NEXT","SUIVANT"
"Tutorial_Dialog_1","Hello SUMMONER, welcome to the tutorial","Salut à toi INVOCATEUR, Bienvenue dans le tutorial"
"Tutorial_Dialog_2","Here you will learn how to play at this game","Ici tu vas apprendre a jouer a ce magnifique jeu"
